trial,period_days
970,40.5716264191999
971,40.57164378769198
972,40.57175391203748
973,40.57179012693223
974,40.57164561253262
975,40.57173069982343
976,40.571742842239246
977,40.571737316535746
978,40.57167923901727
979,40.57180945364894
980,40.57177005721928
981,40.57173782765335
982,40.57159010941018
983,40.57177249413678
984,40.57162311674915
985,40.571795855504206
986,40.571709747320824
987,40.57175184357561
988,40.57174165393951
989,40.571615297744756
990,40.571740752922096
991,40.571657898844705
992,40.57181821674328
993,40.57181756234161
994,40.571783985590855
995,40.57168929613681
996,40.57170190763043
997,40.571681059813386
998,40.57169430634144
999,40.57167711765783
1000,40.57175388437349
1001,40.57175818297094
1002,40.5717963692631
1003,40.57181610136399
1004,40.57179896636808
1005,40.57168706834
1006,40.571810564610246
1007,40.571648985194315
1008,40.57158863706775
1009,40.571560450729976
1010,40.5717812932337
1011,40.571753546245986
1012,40.57160684016799
1013,40.571781900817314
1014,40.57159522185259
1015,40.57169924099367
1016,40.57170920103147
1017,40.57158670157162
1018,40.57173388698641
1019,40.57178055024542
1020,40.57185142830042
1021,40.571615716892666
1022,40.57179596891592
1023,40.571852449335324
1024,40.57168552083476
1025,40.57183007362255
1026,40.571747384258174
1027,40.57177404813751
1028,40.571771045871856
1029,40.571750110947505
1030,40.571669679010824
1031,40.571833925901615
1032,40.57174837419393
1033,40.57180644936227
1034,40.57178631681427
1035,40.57176785974025
1036,40.57176473111417
1037,40.571739099599995
1038,40.57171733296411
1039,40.571783874942184
1040,40.57169141423492
1041,40.57171634431893
1042,40.57173001913509
1043,40.571872812487186
1044,40.57180378581063
1045,40.57168532812
1046,40.57179241122378
1047,40.57170667685409
1048,40.571762142121884
1049,40.57172483448983
1050,40.57168148809865
1051,40.57168491631319
1052,40.57180278342139
1053,40.57175958005587
1054,40.571711005749194
1055,40.57163705393759
1056,40.57175132974021
1057,40.571770407148506
1058,40.571739978831374
1059,40.57170361170904
1060,40.57170434245097
1061,40.571840111482175
1062,40.571678046043075
1063,40.57162249831367
1064,40.57186364473603
1065,40.57175421517502
1066,40.571635014460526
1067,40.57172075604797
1068,40.57172883949556
1069,40.57176693135898
1070,40.57169257733483
1071,40.57170479660317
1072,40.57168344258275
1073,40.571626282917464
1074,40.5717299342823
1075,40.57179018717204
1076,40.57174567039101
1077,40.571646062241825
1078,40.57170024832499
1079,40.57162382897218
1080,40.571696654907555
1081,40.571672942704254
1082,40.571690387150056
1083,40.571687576803015
1084,40.57172857062483
1085,40.57165809886067
1086,40.57171135723149
1087,40.571682230887404
1088,40.57166048100453
1089,40.57163179840791
1090,40.571713510388236
1091,40.57167971522699
1092,40.57170769502602
1093,40.57172137722932
1094,40.57168945286219
1095,40.57168168588112
1096,40.57168922355538
1097,40.57170787881819
1098,40.57160201870636
1099,40.571769341438426
1100,40.57183525592734
1101,40.571781721106504
1102,40.57170498503831
1103,40.57162889667961
1104,40.571754175186584
1105,40.571716790197115
1106,40.57167731255083
1107,40.571735851891845
